"Tool","answer_total","error_total","answer_UpperBounds","error_UpperBounds"
"2019-Gold",17512,0,17512,0
"BVT",18545,0,18545,0
"GreatSPN",11552,64,11552,64
"ITS-LoLa",17311,0,17311,0
"ITS-Tools",10579,0,10579,0
"Tapaal",16680,0,16680,0
"smart",6745,0,6745,0
"Ideal Tool",19664,0,19664,0
