"Tool","answer_total","error_total","answer_UpperBounds","error_UpperBounds"
"2025-gold",29870,2,29870,2
"BVT",30345,0,30345,0
"ITS-Tools",29982,3,29982,3
"TY",9466,18,9466,18
"Tapaal",28580,0,28580,0
"Ideal Tool",31248,0,31248,0
