"Tool","answer_total","error_total","answer_ReachabilityDeadlock","error_ReachabilityDeadlock"
"BVT",888,0,888,0
"GreatSPN",429,0,429,0
"ITS-Tools",697,0,697,0
"ITS-Tools.L",739,0,739,0
"Irma.full",401,0,401,0
"Irma.struct",401,0,401,0
"LTSMin",332,0,332,0
"LoLA",755,0,755,0
"M4M.full",316,0,316,0
"M4M.struct",256,0,256,0
"Tapaal",812,0,812,0
"Ideal Tool",947,0,947,0
