"Tool","answer_total","error_total","answer_CTLCardinality","error_CTLCardinality","answer_CTLFireability","error_CTLFireability"
"2021-gold",35112,6,18731,3,16381,3
"BVT",43707,0,22513,0,21194,0
"GreatSPN",21028,0,10562,0,10466,0
"ITS-Tools",30036,1,16614,1,13422,0
"Tapaal",38963,3,20685,1,18278,2
"Ideal Tool",51744,0,25872,0,25872,0
