"Tool","answer_total","error_total","answer_CTLCardinality","error_CTLCardinality","answer_CTLFireability","error_CTLFireability"
"2024-gold",44210,5,23259,0,20951,5
"BVT",49002,0,25286,0,23716,0
"ITS-Tools",33774,2,18464,1,15310,1
"Tapaal",44210,0,23250,0,20960,0
"Ideal Tool",59360,0,29680,0,29680,0
