"Tool","answer_total","error_total","answer_CTLCardinality","error_CTLCardinality","answer_CTLFireability","error_CTLFireability"
"2019-Gold",31844,1,16975,1,14869,0
"BVT",35609,0,18414,0,17195,0
"GreatSPN",17422,30,8871,27,8551,3
"ITS-LoLa",28493,24,16322,17,12171,7
"ITS-Tools",20393,15,11277,13,9116,2
"Tapaal",31801,0,16988,0,14813,0
"smart",2747,88,1504,26,1243,62
"Ideal Tool",39328,0,19664,0,19664,0
