"Tool","answer_total","error_total","answer_UpperBounds","error_UpperBounds"
"2020-gold",11760,525,11760,525
"BVT",21695,0,21695,0
"GreatSPN",12824,0,12824,0
"ITS-Tools",21202,0,21202,0
"LoLA",19238,0,19238,0
"Tapaal",19489,0,19489,0
"Ideal Tool",22576,0,22576,0
