"Tool","answer_total","error_total","answer_Liveness","error_Liveness","answer_OneSafe","error_OneSafe","answer_QuasiLiveness","error_QuasiLiveness","answer_ReachabilityDeadlock","error_ReachabilityDeadlock","answer_StableMarking","error_StableMarking"
"2021-gold",7619,0,1493,0,1592,0,1480,0,1542,0,1512,0
"BVT",7814,0,1530,0,1616,0,1525,0,1575,0,1568,0
"GreatSPN",4185,1,625,0,898,0,869,1,895,0,898,0
"ITS-Tools",7712,0,1512,0,1615,0,1494,0,1562,0,1529,0
"Tapaal",6703,5,1194,0,1558,0,1244,5,1407,0,1300,0
"Ideal Tool",8085,0,1617,0,1617,0,1617,0,1617,0,1617,0
