"Tool","answer_total","error_total","answer_Liveness","error_Liveness","answer_OneSafe","error_OneSafe","answer_QuasiLiveness","error_QuasiLiveness","answer_ReachabilityDeadlock","error_ReachabilityDeadlock","answer_StableMarking","error_StableMarking"
"BVT",5296,0,946,0,1152,0,991,0,1188,0,1019,0
"GreatSPN",3303,8,469,8,723,0,692,0,695,0,724,0
"ITS-LoLa",1162,0,NA,NA,NA,NA,NA,NA,1162,0,NA,NA
"ITS-Tools",1165,0,NA,NA,NA,NA,NA,NA,1165,0,NA,NA
"Tapaal",4806,0,840,0,1140,0,893,0,1021,0,912,0
"smart",1612,32,264,12,364,0,287,0,340,20,357,0
"Ideal Tool",6145,0,1229,0,1229,0,1229,0,1229,0,1229,0
