"Tool","answer_total","error_total","answer_ReachabilityCardinality","error_ReachabilityCardinality","answer_ReachabilityFireability","error_ReachabilityFireability"
"2025-gold",60116,0,30494,0,29622,0
"BVT",61514,0,30809,0,30705,0
"ITS-Tools",59556,3,30039,2,29517,1
"TY",12374,101,4014,55,8360,46
"Tapaal",60138,0,30500,0,29638,0
"smpt",56568,0,28803,0,27765,0
"Ideal Tool",62496,0,31248,0,31248,0
