"Tool","answer_total","error_total","answer_StateSpace","error_StateSpace"
"2023-gold",4963,0,4963,0
"BVT",5156,0,5156,0
"GreatSPN",4238,6,4238,6
"GreatSPN+red",4236,6,4236,6
"ITS-Tools",3084,0,3084,0
"NoHD",1792,0,1792,0
"tedd",4964,0,4964,0
"Ideal Tool",7128,0,7128,0
