"Tool","answer_total","error_total","answer_StateSpace","error_StateSpace"
"2020-gold",3712,0,3712,0
"BVT",4010,0,4010,0
"GreatSPN",3374,6,3374,6
"ITS-Tools",2469,0,2469,0
"Tapaal",951,9,951,9
"tedd",3775,0,3775,0
"Ideal Tool",5644,0,5644,0
