"Tool","answer_StateSpace","error_StateSpace","answer_Liveness","error_Liveness","answer_OneSafe","error_OneSafe","answer_QuasiLiveness","error_QuasiLiveness","answer_ReachabilityDeadlock","error_ReachabilityDeadlock","answer_StableMarking","error_StableMarking","answer_ReachabilityCardinality","error_ReachabilityCardinality","answer_ReachabilityFireability","error_ReachabilityFireability","answer_CTLCardinality","error_CTLCardinality","answer_CTLFireability","error_CTLFireability","answer_LTLCardinality","error_LTLCardinality","answer_LTLFireability","error_LTLFireability","answer_UpperBounds","error_UpperBounds"
"2023-gold",4963,0,1655,0,1760,20,1627,0,1706,2,1688,0,27252,2,26620,6,22427,2,20015,1,26679,10,26030,2,26480,89
"BVT",5156,0,1702,0,1766,0,1656,0,1735,0,1724,0,27925,0,27810,0,24426,0,22840,0,27432,0,27093,0,27401,0
"GreatSPN",4238,6,716,1,1011,1,976,0,1006,0,1010,0,12748,0,12493,0,11613,0,11286,1,12078,249,12280,240,16266,4
"GreatSPN+red",4236,6,1596,1,1760,20,1600,0,1701,0,1670,0,27040,0,26332,0,16605,1,13398,1,25289,1,24055,6,27000,94
"ITS-Tools",3084,0,1629,0,1760,20,1599,0,1706,0,1677,0,27102,0,26480,0,17619,2,14672,4,25647,0,24669,1,27028,89
"NoHD",1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tedd",4964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ideal Tool",7128,0,1782,0,1782,0,1782,0,1782,0,1782,0,28512,0,28512,0,28512,0,28512,0,28512,0,28512,0,28512,0
"LTSMin+red",0,0,1469,0,1756,20,1567,0,1674,0,1667,0,26771,0,25881,0,8991,0,3701,0,26009,84,24900,95,26556,95
"LoLA",0,0,1541,2,1663,8,1386,0,1422,0,1305,13,23910,66,21507,35,11999,6,9232,10,15428,9,13840,8,20937,449
"Tapaal",0,0,1314,0,1710,13,1413,0,1551,1,1446,0,27368,0,26003,3,22455,2,20067,1,26300,0,25450,0,25527,45
"SVSKit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1296,32,0,0,392,12,0,0,0,0,0,0
"smpt",0,0,0,0,0,0,0,0,0,0,0,0,26522,8,26110,0,0,0,0,0,0,0,0,0,0,0
"LTSMin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21495,365,20589,309,0,0
