"Tool","answer_total","error_total","answer_UpperBounds","error_UpperBounds"
"2024-gold",28283,0,28283,0
"BVT",28600,0,28600,0
"ITS-Tools",28334,2,28334,2
"Tapaal",26813,0,26813,0
"Ideal Tool",29680,0,29680,0
