"Tool","answer_total","error_total","answer_StateSpace","error_StateSpace"
"2018-Gold",2214,0,2214,0
"BVT",2801,0,2801,0
"GreatSPN",2367,0,2367,0
"ITS-Tools",1536,0,1536,0
"ITS-Tools.M",1373,0,1373,0
"LTSMin",1104,0,1104,0
"TINA.tedd",2648,0,2648,0
"Tapaal",660,0,660,0
"enPAC",65,22,65,22
"smart",1220,0,1220,0
"Ideal Tool",4072,0,4072,0
