"Tool","answer_StateSpace","error_StateSpace","answer_Liveness","error_Liveness","answer_OneSafe","error_OneSafe","answer_QuasiLiveness","error_QuasiLiveness","answer_ReachabilityDeadlock","error_ReachabilityDeadlock","answer_StableMarking","error_StableMarking","answer_ReachabilityCardinality","error_ReachabilityCardinality","answer_ReachabilityFireability","error_ReachabilityFireability","answer_CTLCardinality","error_CTLCardinality","answer_CTLFireability","error_CTLFireability","answer_LTLCardinality","error_LTLCardinality","answer_LTLFireability","error_LTLFireability","answer_UpperBounds","error_UpperBounds"
"2022-gold",4619,0,1540,0,1645,0,1518,5,1589,0,1558,0,25659,0,24569,0,20917,7,19126,9,25430,1,24873,0,24880,3
"BVT",4911,0,1602,0,1678,0,1571,0,1637,0,1622,0,26377,0,26302,0,23632,0,22789,0,26117,0,25895,0,25483,0
"GreatSPN",4003,6,648,1,934,0,906,0,929,0,934,0,11586,0,11365,0,10829,0,10930,0,11025,217,11229,217,14976,0
"ITS-Tools",2950,4,1550,0,1676,0,1513,0,1617,0,1583,0,25615,2,25166,0,16617,1,13892,0,25516,1,25007,2,25128,2
"LTSMin",2239,0,0,0,0,0,0,0,728,1,0,0,11775,0,13097,0,6972,2,6615,9,0,0,0,0,11888,0
"LTSMin+red",2098,0,1383,0,1676,0,1519,0,1611,0,1574,0,25443,0,24809,0,13774,1,10226,0,24377,0,23313,0,24893,0
"Marcie",2714,0,0,0,0,0,0,0,624,0,0,0,8886,0,9621,0,7923,0,8414,4,0,0,0,0,10922,0
"Marcie+red",2866,0,1384,0,1676,0,1519,0,1616,0,1572,0,25466,0,24887,0,15002,1,12182,8,10319,0,8893,0,25060,0
"Smart",2498,34,323,22,464,0,353,0,486,28,453,3,8280,11,9693,21,0,0,0,0,0,0,0,0,9830,60
"Smart+red",2586,8,1432,48,1676,0,1520,1,1587,8,1572,0,25400,23,24588,57,0,0,0,0,10435,0,8893,0,24980,20
"pnmc",1925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tedd-c",4649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ideal Tool",6712,0,1678,0,1678,0,1678,0,1678,0,1678,0,26848,0,26848,0,26848,0,26848,0,26848,0,26848,0,26848,0
"LoLA",0,0,1491,0,1628,0,1397,0,1379,0,1341,24,23091,10,20950,0,15531,4,14891,10,21317,5,20112,11,22644,0
"LoLa+red",0,0,1544,2,1676,0,1535,0,1612,0,1579,0,25958,0,25474,0,19693,2,16721,3,25371,0,24715,0,24920,0
"Tapaal",0,0,1211,0,1632,0,1326,0,1443,6,1373,13,25890,0,24738,0,21134,7,19328,9,25303,0,24718,0,23357,0
"smpt",0,0,0,0,0,0,0,0,0,0,0,0,25365,3,24875,1,0,0,0,0,0,0,0,0,0,0
