"Tool","answer_total","error_total","answer_StateSpace","error_StateSpace"
"2019-Gold",3009,8,3009,8
"BVT",3364,0,3364,0
"GreatSPN",2793,0,2793,0
"ITS-Tools",2125,12,2125,12
"TINA.tedd",3158,0,3158,0
"Tapaal",721,0,721,0
"smart",1641,4,1641,4
"Ideal Tool",4916,0,4916,0
