"Tool","answer_total","error_total","answer_LTLCardinality","error_LTLCardinality","answer_LTLFireability","error_LTLFireability"
"2025-gold",58155,0,29507,0,28648,0
"BVT",60316,0,30373,0,29943,0
"ITS-Tools",57528,0,29181,0,28347,0
"TY",5964,5,3309,2,2655,3
"Tapaal",58135,0,29495,0,28640,0
"Ideal Tool",62496,0,31248,0,31248,0
