"Tool","answer_total","error_total","answer_UpperBounds","error_UpperBounds"
"2021-gold",24001,0,24001,0
"BVT",24573,0,24573,0
"GreatSPN",14400,0,14400,0
"ITS-Tools",24302,0,24302,0
"Tapaal",22550,0,22550,0
"Ideal Tool",25872,0,25872,0
