"Tool","answer_total","error_total","answer_ReachabilityDeadlock","error_ReachabilityDeadlock"
"BVT",932,0,932,0
"GreatSPN",441,0,441,0
"ITS-Tools",773,0,773,0
"ITS-Tools.M",773,0,773,0
"LoLA",727,0,727,0
"Tapaal",856,0,856,0
"Ideal Tool",1018,0,1018,0
