"Tool","answer_StateSpace","error_StateSpace","answer_ReachabilityDeadlock","error_ReachabilityDeadlock","answer_ReachabilityCardinality","error_ReachabilityCardinality","answer_ReachabilityFireability","error_ReachabilityFireability","answer_CTLCardinality","error_CTLCardinality","answer_CTLFireability","error_CTLFireability","answer_LTLCardinality","error_LTLCardinality","answer_LTLFireability","error_LTLFireability","answer_UpperBounds","error_UpperBounds"
"2018-Gold",2214,0,0,0,15201,0,14429,0,14262,1,12733,0,14316,3,14692,0,12951,0
"BVT",2801,0,932,0,15528,0,15178,0,14990,0,14195,0,14895,0,15217,0,14978,0
"GreatSPN",2367,0,441,0,5131,0,5415,0,5222,0,5273,0,0,0,0,0,8976,0
"ITS-Tools",1536,0,773,0,10278,0,10116,0,5622,0,5622,0,10891,1,11259,0,8131,0
"ITS-Tools.M",1373,0,773,0,9685,5,9355,10,5877,3,6236,1,10075,1,10286,0,8798,9
"LTSMin",1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6272,0
"TINA.tedd",2648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tapaal",660,0,856,0,15273,0,14578,0,14306,1,12761,0,0,0,0,0,14398,0
"enPAC",65,22,0,0,0,0,0,0,0,0,0,0,1152,214,1096,225,0,0
"smart",1220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5575,0
"Ideal Tool",4072,0,1018,0,16288,0,16288,0,16288,0,16288,0,16288,0,16288,0,16288,0
"LoLA",0,0,727,0,14131,5,13261,8,12751,2,10979,1,13843,1,14309,1,12988,0
