"Tool","answer_StateSpace","error_StateSpace","answer_Liveness","error_Liveness","answer_OneSafe","error_OneSafe","answer_QuasiLiveness","error_QuasiLiveness","answer_ReachabilityDeadlock","error_ReachabilityDeadlock","answer_StableMarking","error_StableMarking","answer_ReachabilityCardinality","error_ReachabilityCardinality","answer_ReachabilityFireability","error_ReachabilityFireability","answer_CTLCardinality","error_CTLCardinality","answer_CTLFireability","error_CTLFireability","answer_LTLCardinality","error_LTLCardinality","answer_LTLFireability","error_LTLFireability","answer_UpperBounds","error_UpperBounds"
"2019-Gold",3009,8,0,0,0,0,0,0,0,0,0,0,18381,0,17528,0,16975,1,14869,0,15798,3,14983,3,17512,0
"BVT",3364,0,946,0,1152,0,991,0,1188,0,1019,0,19343,0,19148,0,18414,0,17195,0,18153,0,17503,0,18545,0
"GreatSPN",2793,0,469,8,723,0,692,0,695,0,724,0,9003,21,8480,0,8871,27,8551,3,8165,264,8172,251,11552,64
"ITS-Tools",2125,12,0,0,0,0,0,0,1165,0,0,0,19110,34,18967,9,11277,13,9116,2,12480,0,9584,3,10579,0
"TINA.tedd",3158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tapaal",721,0,840,0,1140,0,893,0,1021,0,912,0,18462,0,17474,0,16988,0,14813,0,0,0,0,0,16680,0
"smart",1641,4,264,12,364,0,287,0,340,20,357,0,6191,0,6505,0,1504,26,1243,62,0,0,0,0,6745,0
"Ideal Tool",4916,0,1229,0,1229,0,1229,0,1229,0,1229,0,19664,0,19664,0,19664,0,19664,0,19664,0,19664,0,19664,0
"ITS-LoLa",0,0,0,0,0,0,0,0,1162,0,0,0,19129,37,18933,18,16322,17,12171,7,16763,7,13924,5,17311,0
"enPAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14074,148,14613,178,0,0
