"Tool","answer_total","error_total","answer_UpperBounds","error_UpperBounds"
"2018-Gold",12951,0,12951,0
"BVT",14978,0,14978,0
"GreatSPN",8976,0,8976,0
"ITS-Tools",8131,0,8131,0
"ITS-Tools.M",8798,9,8798,9
"LTSMin",6272,0,6272,0
"LoLA",12988,0,12988,0
"Tapaal",14398,0,14398,0
"smart",5575,0,5575,0
"Ideal Tool",16288,0,16288,0
