"Tool","answer_total","error_total","answer_CTLCardinality","error_CTLCardinality","answer_CTLFireability","error_CTLFireability"
"2025-gold",46060,0,24342,0,21718,0
"BVT",51397,0,26639,0,24758,0
"ITS-Tools",35798,1,19651,1,16147,0
"TY",13709,46,7488,33,6221,13
"Tapaal",46079,0,24350,0,21729,0
"Ideal Tool",62496,0,31248,0,31248,0
